userId,movieId,rating,timestamp,MappedUserID,MappedMovieID
1,1,4.0,964982703,U1,M1
1,3,4.0,964981247,U1,M2
1,6,4.0,964982224,U1,M3
1,47,5.0,964983815,U1,M4
1,50,5.0,964982931,U1,M5
1,70,3.0,964982400,U1,M6
1,101,5.0,964980868,U1,M7
1,110,4.0,964982176,U1,M8
1,151,5.0,964984041,U1,M9
1,157,5.0,964984100,U1,M10
1,163,5.0,964983650,U1,M11
1,216,5.0,964981208,U1,M12
1,223,3.0,964980985,U1,M13
1,231,5.0,964981179,U1,M14
1,235,4.0,964980908,U1,M15
1,260,5.0,964981680,U1,M16
1,296,3.0,964982967,U1,M17
1,316,3.0,964982310,U1,M18
1,333,5.0,964981179,U1,M19
1,349,4.0,964982563,U1,M20
1,356,4.0,964980962,U1,M21
1,362,5.0,964982588,U1,M22
1,367,4.0,964981710,U1,M23
1,423,3.0,964982363,U1,M24
1,441,4.0,964980868,U1,M25
1,457,5.0,964981909,U1,M26
1,480,4.0,964982346,U1,M27
1,500,3.0,964981208,U1,M28
1,527,5.0,964984002,U1,M29
1,543,4.0,964981179,U1,M30
1,552,4.0,964982653,U1,M31
1,553,5.0,964984153,U1,M32
1,590,4.0,964982546,U1,M33
1,592,4.0,964982271,U1,M34
1,593,4.0,964983793,U1,M35
1,596,5.0,964982838,U1,M36
1,608,5.0,964982931,U1,M37
1,648,3.0,964982563,U1,M38
1,661,5.0,964982838,U1,M39
1,673,3.0,964981775,U1,M40
1,733,4.0,964982400,U1,M41
1,736,3.0,964982653,U1,M42
1,780,3.0,964984086,U1,M43
1,804,4.0,964980499,U1,M44
1,919,5.0,964982475,U1,M45
1,923,5.0,964981529,U1,M46
1,940,5.0,964982176,U1,M47
1,943,4.0,964983614,U1,M48
1,954,5.0,964983219,U1,M49
1,1009,3.0,964981775,U1,M50
1,1023,5.0,964982681,U1,M51
1,1024,5.0,964982876,U1,M52
1,1025,5.0,964982791,U1,M53
1,1029,5.0,964982855,U1,M54
1,1030,3.0,964982903,U1,M55
1,1031,5.0,964982653,U1,M56
1,1032,5.0,964982791,U1,M57
1,1042,4.0,964981179,U1,M58
1,1049,5.0,964982400,U1,M59
1,1060,4.0,964980924,U1,M60
1,1073,5.0,964981680,U1,M61
1,1080,5.0,964981327,U1,M62
1,1089,5.0,964982951,U1,M63
1,1090,4.0,964984018,U1,M64
1,1092,5.0,964983484,U1,M65
1,1097,5.0,964981680,U1,M66
1,1127,4.0,964982513,U1,M67
1,1136,5.0,964981327,U1,M68
1,1196,5.0,964981827,U1,M69
1,1197,5.0,964981872,U1,M70
1,1198,5.0,964981827,U1,M71
1,1206,5.0,964983737,U1,M72
1,1208,4.0,964983250,U1,M73
1,1210,5.0,964980499,U1,M74
1,1213,5.0,964982951,U1,M75
1,1214,4.0,964981855,U1,M76
1,1219,2.0,964983393,U1,M77
1,1220,5.0,964981909,U1,M78
1,1222,5.0,964981909,U1,M79
1,1224,5.0,964984018,U1,M80
1,1226,5.0,964983618,U1,M81
1,1240,5.0,964983723,U1,M82
1,1256,5.0,964981442,U1,M83
1,1258,3.0,964983414,U1,M84
1,1265,4.0,964983599,U1,M85
1,1270,5.0,964983705,U1,M86
1,1275,5.0,964982290,U1,M87
1,1278,5.0,964983414,U1,M88
1,1282,5.0,964982703,U1,M89
1,1291,5.0,964981909,U1,M90
1,1298,5.0,964984086,U1,M91
1,1348,4.0,964983393,U1,M92
1,1377,3.0,964982653,U1,M93
1,1396,3.0,964983017,U1,M94
1,1408,3.0,964982310,U1,M95
1,1445,3.0,964984112,U1,M96
1,1473,4.0,964980875,U1,M97
1,1500,4.0,964980985,U1,M98
1,1517,5.0,964981107,U1,M99
1,1552,4.0,964982620,U1,M100
1,1573,5.0,964982290,U1,M101
1,1580,3.0,964981125,U1,M102
1,1587,5.0,964982346,U1,M103
1,1617,5.0,964982951,U1,M104
1,1620,4.0,964983056,U1,M105
1,1625,5.0,964983504,U1,M106
1,1644,3.0,964983536,U1,M107
1,1676,3.0,964982620,U1,M108
1,1732,5.0,964981125,U1,M109
1,1777,4.0,964981230,U1,M110
1,1793,4.0,964981404,U1,M111
1,1804,5.0,964983034,U1,M112
1,1805,4.0,964983056,U1,M113
1,1920,4.0,964981780,U1,M114
1,1927,5.0,964981497,U1,M115
1,1954,5.0,964982176,U1,M116
1,1967,4.0,964981710,U1,M117
1,2000,4.0,964982211,U1,M118
1,2005,5.0,964981710,U1,M119
